Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",HE1J478M30040HA,4,4m7,
"C10, C9",C_Radial_D5.0mm_H7.0mm_P2.00mm,2,10u,
"C11, C12, C5, C6",0805,4,100n,
"C7, C8",0805,2,1u,
"D1, D2, D3, D4, D5, D6",D_DO-201AD_P15.24mm_Horizontal,6,1N5408,
"D7, D8",D_SOD-523,2,1N4148WT,
"H2, H3",PTF15,2,Fuse4A,
IC1,TO255P460X1020X2008-3P,1,LM317T,
IC2,TO255P460X1020X2008-3P,1,LM337SP,
J1,DG3015003P1200AH,1,DG301-5.0-03P-12-00A_H_,
J2,2828366,1,282836-6,
J3,PinSocket_2x06_P2.54mm_Vertical,1,Conn_02x06_Counter_Clockwise,
Q1,TO545P515X1560X2445-3P,1,TIP2955,
Q2,TO545P515X1560X2445-3P,1,TIP3055,
Q3,SOT-23,1,BC807,
Q4,SOT-23,1,BC817,
"R1, R3",0603,2,240,
"R2, R4",0603,2,50k,
"R5, R8",R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal,2,0.1,
"R6, R7",R_Axial_DIN0516_L15.5mm_D5.0mm_P20.32mm_Horizontal,2,1,
R9,0603,1,2k,
"RV+1, RV-1",Potentiometer_ACP_CA9-H5_Horizontal,2,R_Potentiometer,
U1,TO-220-3_Vertical,1,LM7818_TO220,
"U2, U3, U4, U5",FAT22025E,4,FA-T220-25E,
